wavelength [um],"Bulb Spectra, No background"
0.362059,769.2
0.362094,757.6
0.36213,767.6
0.362166,775.2
0.362202,776.4
0.362238,775.2
0.362273,757.6
0.362309,778.4
0.362345,759.2
0.362381,783.6
0.362417,767.2
0.362452,786.4
0.362488,775.6
0.362524,784.4
0.36256,788.8
0.362595,784
0.362631,744.8
0.362667,760.4
0.362703,796.8
0.362739,778.8
0.362774,776.8
0.36281,774.8
0.362846,774.4
0.362882,778
0.362917,804
0.362953,783.2
0.362989,790.4
0.363025,791.6
0.36306,799.2
0.363096,804.4
0.363132,796.4
0.363168,786.4
0.363204,803.2
0.363239,778.4
0.363275,796.8
0.363311,794
0.363347,810
0.363382,804.8
0.363418,804.4
0.363454,831.2
0.36349,816.4
0.363525,817.2
0.363561,828.4
0.363597,799.2
0.363633,809.6
0.363668,820.4
0.363704,809.6
0.36374,814.8
0.363776,822
0.363811,832.8
0.363847,837.2
0.363883,829.2
0.363919,820
0.363954,804.8
0.36399,811.6
0.364026,821.6
0.364062,808.8
0.364097,833.2
0.364133,822
0.364169,844.8
0.364205,853.6
0.36424,840
0.364276,841.6
0.364312,838.8
0.364348,820.4
0.364383,846.4
0.364419,880
0.364455,853.2
0.364491,854.8
0.364526,860.4
0.364562,846.4
0.364598,878.4
0.364633,856
0.364669,839.2
0.364705,855.6
0.364741,830.8
0.364776,866
0.364812,858
0.364848,846
0.364884,899.2
0.364919,855.2
0.364955,856.4
0.364991,883.2
0.365026,871.2
0.365062,890.4
0.365098,875.2
0.365134,857.6
0.365169,871.6
0.365205,852
0.365241,880
0.365277,882
0.365312,881.6
0.365348,883.2
0.365384,896
0.365419,853.2
0.365455,872.4
0.365491,898.8
0.365527,892.4
0.365562,896.8
0.365598,901.6
0.365634,904.4
0.365669,891.6
0.365705,878.4
0.365741,880
0.365777,907.6
0.365812,884.8
0.365848,918
0.365884,903.2
0.365919,931.6
0.365955,906
0.365991,881.6
0.366026,928.8
0.366062,892.8
0.366098,904.8
0.366134,923.6
0.366169,918.4
0.366205,921.6
0.366241,895.6
0.366276,914
0.366312,922.4
0.366348,912.4
0.366383,932.4
0.366419,926
0.366455,952
0.36649,922
0.366526,956.4
0.366528,979.6
0.366564,938
0.3666,964.8
0.366636,969.2
0.366673,964.4
0.366709,988.4
0.366745,974.8
0.366781,960
0.366817,983.6
0.366853,978.4
0.366889,948.4
0.366925,969.2
0.366962,974.4
0.366998,986.4
0.367034,972.4
0.36707,984.4
0.367106,974.4
0.367142,972
0.367178,982.8
0.367214,1012.8
0.36725,992
0.367287,967.2
0.367323,971.6
0.367359,996
0.367395,979.6
0.367431,1009.2
0.367467,1006.8
0.367503,1004
0.367539,991.2
0.367575,1020.8
0.367612,1010.4
0.367648,1012
0.367684,994
0.36772,988.4
0.367756,1007.6
0.367792,1015.6
0.367828,1026.8
0.367864,1030.4
0.3679,1048
0.367936,1038
0.367973,1023.2
0.368009,1026.8
0.368045,1018.8
0.368081,1012.8
0.368117,1042.4
0.368153,1040.8
0.368189,1009.2
0.368225,1026.8
0.368261,1018.4
0.368297,1030
0.368334,1037.2
0.36837,1040
0.368406,1060.4
0.368442,1054.8
0.368478,1041.6
0.368514,1037.2
0.36855,1051.2
0.368586,1053.6
0.368622,1046
0.368658,1033.6
0.368694,1045.6
0.368731,1047.6
0.368767,1052
0.368803,1052.8
0.368839,1059.6
0.368875,1054.4
0.368911,1060.8
0.368947,1070.8
0.368983,1043.6
0.369019,1046.4
0.369055,1068.4
0.369091,1078.8
0.369127,1064
0.369164,1045.6
0.3692,1110.4
0.369236,1048
0.369272,1066.8
0.369308,1057.2
0.369344,1072.4
