wavelength [nm],intensity,std of intensity,Backgroundless I,eV,True Spectrum,,I/2,True Spec / 2,,2I,2 True Spec
331.49,2248.6666666666665,23.456816114345575,1191.8666666666666,3.7406859935442998,488.3344094460964,,595.9333333333333,244.1672047230482,,2383.733333333333,976.6688188921928
331.526,2230.6666666666665,24.729649321321876,1184.2666666666664,3.7402797970596575,484.72191050130704,,592.1333333333332,242.36095525065352,,2368.533333333333,969.4438210026141
331.563,2203.3333333333335,19.48218559493661,1154.933333333333,3.7398624092555566,472.21663184022526,,577.4666666666665,236.10831592011263,,2309.866666666666,944.4332636804505
331.599,2168.6666666666665,6.182412330330469,1125.0666666666666,3.7394563916055237,459.5326377078439,,562.5333333333333,229.76631885392194,,2250.133333333333,919.0652754156878
331.635,2177.3333333333335,16.996731711975947,1133.7333333333331,3.739050462104422,462.5970763698284,,566.8666666666666,231.2985381849142,,2267.4666666666662,925.1941527396568
331.672,2146.6666666666665,6.182412330330469,1100.2666666666664,3.7386333486094694,448.46806467409164,,550.1333333333332,224.23403233704582,,2200.533333333333,896.9361293481833
331.708,2156.0,29.393876913398138,1110.0,3.73822759776671,451.9710908535265,,555.0,225.98554542676325,,2220.0,903.942181707053
331.744,2110.6666666666665,8.993825042154693,1064.6666666666665,3.737821934986013,433.0674768876188,,532.3333333333333,216.5337384438094,,2129.333333333333,866.1349537752376
331.781,2070.6666666666665,18.208667044996883,1020.2666666666664,3.7374050955298825,414.5697310911834,,510.1333333333332,207.2848655455917,,2040.5333333333328,829.1394621823669
331.817,2040.6666666666667,9.568466729604882,994.2666666666667,3.736999611231492,403.5907962593281,,497.1333333333333,201.79539812966405,,1988.5333333333333,807.1815925186562
331.854,2078.6666666666665,9.977753031397176,1031.8666666666666,3.736582955154978,418.4120576178454,,515.9333333333333,209.2060288089227,,2063.733333333333,836.8241152356908
331.89,2082.0,29.93325909419153,1032.0,3.7361776492211276,418.03730120637084,,516.0,209.01865060318542,,2064.0,836.0746024127417
331.926,2015.3333333333333,20.417857108151406,968.9333333333332,3.7357724312045457,392.0884840604611,,484.4666666666666,196.04424203023055,,1937.8666666666663,784.1769681209222
331.963,2007.3333333333333,5.2493385826745405,957.7333333333333,3.7353560487162722,387.14834517308236,,478.8666666666667,193.57417258654118,,1915.4666666666667,774.2966903461647
331.999,1994.0,18.83259585576738,947.2,3.7349510088885807,382.4983739083481,,473.6,191.24918695417406,,1894.4,764.9967478166963
332.035,1954.0,18.184242262647807,908.4000000000001,3.7345460568915927,366.4546618922713,,454.20000000000005,183.22733094613565,,1816.8000000000002,732.9093237845426
332.072,1936.0,27.85677655436824,882.4000000000001,3.7341299477221805,355.5917026495433,,441.20000000000005,177.79585132477166,,1764.8000000000002,711.1834052990866
332.108,1954.0,17.048949136725895,905.2,3.733725173738663,364.4065154168978,,452.6,182.2032577084489,,1810.4,728.8130308337956
332.144,1950.0,7.483314773547883,904.0,3.7333204874993977,363.55122244130007,,452.0,181.77561122065003,,1808.0,727.1024448826001
332.181,1934.0,18.40289832245635,887.2,3.7329046513798203,356.42001568117036,,443.6,178.21000784058518,,1774.4,712.8400313623407
332.217,1900.6666666666667,35.11251755270318,849.8666666666668,3.7325001429788363,341.0728776110282,,424.9333333333334,170.5364388055141,,1699.7333333333336,682.1457552220564
332.253,1908.0,11.430952132988164,858.0,3.7320957222357665,343.9851045850564,,429.0,171.9925522925282,,1716.0,687.9702091701128
332.29,1948.6666666666667,23.79542439676633,899.8666666666668,3.7316801588973485,360.391272890674,,449.9333333333334,180.195636445337,,1799.7333333333336,720.782545781348
332.326,1916.0,19.252705437591537,862.4000000000001,3.7312759158176005,345.0333342761756,,431.20000000000005,172.5166671380878,,1724.8000000000002,690.0666685523512
332.362,1938.0,11.775681155103795,887.5999999999999,3.7308717603095416,354.7528789775484,,443.79999999999995,177.3764394887742,,1775.1999999999998,709.5057579550968
332.399,1967.3333333333333,13.199326582148887,919.7333333333333,3.7304564694839635,367.2101627529163,,459.8666666666667,183.60508137645814,,1839.4666666666667,734.4203255058326
332.435,1895.3333333333333,13.59738536958076,846.1333333333332,3.730052491464497,337.4800805791205,,423.0666666666666,168.74004028956026,,1692.2666666666664,674.960161158241
332.472,1879.3333333333333,7.363574011458174,830.1333333333332,3.7296373829976663,330.7513125280949,,415.0666666666666,165.37565626404745,,1660.2666666666664,661.5026250561898
332.508,1876.0,13.9522996909709,819.2,3.7292335823498988,326.06222487967335,,409.6,163.03111243983668,,1638.4,652.1244497593467
332.544,1840.0,8.16496580927726,793.5999999999999,3.7288298691301,315.5506980228514,,396.79999999999995,157.7753490114257,,1587.1999999999998,631.1013960457028
332.581,1811.3333333333333,12.256517540566824,761.3333333333333,3.728415032728869,302.40369421814347,,380.66666666666663,151.20184710907174,,1522.6666666666665,604.8073884362869
332.617,1790.0,9.092121131323903,743.5999999999999,3.7280114967064217,295.0589663403415,,371.79999999999995,147.52948317017075,,1487.1999999999998,590.117932680683
332.653,1765.3333333333333,8.219218670625303,711.3333333333333,3.727608048026021,281.96805287016707,,355.66666666666663,140.98402643508354,,1422.6666666666665,563.9361057403341
332.69,1761.3333333333333,16.35712552851373,701.7333333333333,3.7271934834230063,277.8714903127475,,350.8666666666667,138.93574515637374,,1403.4666666666667,555.742980625495
332.726,1759.3333333333333,14.817407180595247,711.3333333333333,3.7267902117658376,281.38607347257283,,355.66666666666663,140.69303673628642,,1422.6666666666665,562.7721469451457
332.762,1785.3333333333333,17.30767331432956,739.7333333333333,3.7263870273649036,292.32254042081365,,369.8666666666667,146.16127021040683,,1479.4666666666667,584.6450808416273
332.799,1788.6666666666667,8.993825042154693,742.2666666666667,3.725972734293072,293.01684571621445,,371.1333333333333,146.50842285810722,,1484.5333333333333,586.0336914324289
332.835,1764.0,21.96967607104544,716.0,3.7255697267414787,282.3602613428856,,358.0,141.1801306714428,,1432.0,564.7205226857712
332.871,1770.6666666666667,16.679994670929073,710.2666666666667,3.725166806360422,279.81437969353254,,355.1333333333333,139.90718984676627,,1420.5333333333333,559.6287593870651
